"time_days","conc_ugml","sd_ugml","dose_mgkg","group","ID","concDoseNorm1mgkg","sdDoseNorm1mgkg","litID","Ab"
0.085,513.0325,96.0542,20,"adult; 20 mg/kg",1,25.651625,4.80271,"Herbst2014","atezolizumab"
0.17,466.3769,80.96835,20,"adult; 20 mg/kg",1,23.318845,4.0484175,"Herbst2014","atezolizumab"
1,385.4085,63.51663,20,"adult; 20 mg/kg",1,19.270425,3.1758315,"Herbst2014","atezolizumab"
3,268.2696,44.2117,20,"adult; 20 mg/kg",1,13.41348,2.210585,"Herbst2014","atezolizumab"
7,193.9924,36.3208,20,"adult; 20 mg/kg",1,9.69962,1.81604,"Herbst2014","atezolizumab"
14,142.9814,23.56378,20,"adult; 20 mg/kg",1,7.14907,1.178189,"Herbst2014","atezolizumab"
21,97.64455,29.87891,20,"adult; 20 mg/kg",1,4.8822275,1.4939455,"Herbst2014","atezolizumab"
0.085,350.3591,116.0178,15,"adult; 15 mg/kg",2,23.3572733333333,7.73452,"Herbst2014","atezolizumab"
0.17,318.4972,81.89395,15,"adult; 15 mg/kg",2,21.2331466666667,5.45959666666667,"Herbst2014","atezolizumab"
1,273.4343,NA,15,"adult; 15 mg/kg",2,18.2289533333333,NA,"Herbst2014","atezolizumab"
3,193.9924,20.97282,15,"adult; 15 mg/kg",2,12.9328266666667,1.398188,"Herbst2014","atezolizumab"
7,135.0314,37.98817,15,"adult; 15 mg/kg",2,9.00209333333333,2.53254466666667,"Herbst2014","atezolizumab"
14,95.80021,NA,15,"adult; 15 mg/kg",2,6.38668066666667,NA,"Herbst2014","atezolizumab"
21,71.96857,28.13347,15,"adult; 15 mg/kg",2,4.79790466666667,1.87556466666667,"Herbst2014","atezolizumab"
0.085,278.6985,57.00359,10,"adult; 10 mg/kg",3,27.86985,5.700359,"Herbst2014","atezolizumab"
0.17,234.7472,48.01399,10,"adult; 10 mg/kg",3,23.47472,4.801399,"Herbst2014","atezolizumab"
1,217.5074,34.30128,10,"adult; 10 mg/kg",3,21.75074,3.430128,"Herbst2014","atezolizumab"
3,151.3994,30.96645,10,"adult; 10 mg/kg",3,15.13994,3.096645,"Herbst2014","atezolizumab"
7,111.5884,40.9792,10,"adult; 10 mg/kg",3,11.15884,4.09792,"Herbst2014","atezolizumab"
14,71.96857,11.34958,10,"adult; 10 mg/kg",3,7.196857,1.134958,"Herbst2014","atezolizumab"
21,56.16715,13.97236,10,"adult; 10 mg/kg",3,5.616715,1.397236,"Herbst2014","atezolizumab"
0.085,79.16819,16.63202,3,"adult; 3 mg/kg",4,26.3893966666667,5.54400666666667,"Herbst2014","atezolizumab"
0.17,67.967,11.20119,3,"adult; 3 mg/kg",4,22.6556666666667,3.73373,"Herbst2014","atezolizumab"
1,57.24848,9.434738,3,"adult; 3 mg/kg",4,19.0828266666667,3.14491266666667,"Herbst2014","atezolizumab"
3,45.53917,10.62798,3,"adult; 3 mg/kg",4,15.1797233333333,3.54266,"Herbst2014","atezolizumab"
7,30.5121,10.10376,3,"adult; 3 mg/kg",4,10.1707,3.36792,"Herbst2014","atezolizumab"
14,24.73858,8.825899,3,"adult; 3 mg/kg",4,8.24619333333333,2.94196633333333,"Herbst2014","atezolizumab"
21,13.69765,8.366403,3,"adult; 3 mg/kg",4,4.56588333333333,2.788801,"Herbst2014","atezolizumab"
0.085,23.81286,7.286655,1,"adult; 1 mg/kg",5,23.81286,7.286655,"Herbst2014","atezolizumab"
0.17,20.05753,NA,1,"adult; 1 mg/kg",5,20.05753,NA,"Herbst2014","atezolizumab"
1,20.05753,4.213778,1,"adult; 1 mg/kg",5,20.05753,4.213778,"Herbst2014","atezolizumab"
3,15.35803,4.320644,1,"adult; 1 mg/kg",5,15.35803,4.320644,"Herbst2014","atezolizumab"
7,9.17768,2.808338,1,"adult; 1 mg/kg",5,9.17768,2.808338,"Herbst2014","atezolizumab"
14,6.388267,0.9038506,1,"adult; 1 mg/kg",5,6.388267,0.9038506,"Herbst2014","atezolizumab"
21,5.484416,NA,1,"adult; 1 mg/kg",5,5.484416,NA,"Herbst2014","atezolizumab"
0.085,6.511253,1.367915,0.3,"adult; 0.3 mg/kg",6,21.7041766666667,4.55971666666667,"Herbst2014","atezolizumab"
0.17,5.380825,0.8867774,0.3,"adult; 0.3 mg/kg",6,17.9360833333333,2.95592466666667,"Herbst2014","atezolizumab"
1,4.532259,1.057744,0.3,"adult; 0.3 mg/kg",6,15.10753,3.52581333333333,"Herbst2014","atezolizumab"
3,2.867853,0.3100476,0.3,"adult; 0.3 mg/kg",6,9.55951,1.033492,"Herbst2014","atezolizumab"
7,1.849612,NA,0.3,"adult; 0.3 mg/kg",6,6.16537333333333,NA,"Herbst2014","atezolizumab"
14,0.3139745,0.05174407,0.3,"adult; 0.3 mg/kg",6,1.04658166666667,0.172480233333333,"Herbst2014","atezolizumab"
0.085,0.9489114,NA,0.1,"adult; 0.1 mg/kg",7,9.489114,NA,"Herbst2014","atezolizumab"
0.17,0.9134032,NA,0.1,"adult; 0.1 mg/kg",7,9.134032,NA,"Herbst2014","atezolizumab"
1,0.5779693,NA,0.1,"adult; 0.1 mg/kg",7,5.779693,NA,"Herbst2014","atezolizumab"
3,0.1281328,NA,0.1,"adult; 0.1 mg/kg",7,1.281328,NA,"Herbst2014","atezolizumab"
0.085,0.3520334,NA,0.03,"adult; 0.03 mg/kg",8,11.7344466666667,NA,"Herbst2014","atezolizumab"
0.17,0.2644601,NA,0.03,"adult; 0.03 mg/kg",8,8.81533666666667,NA,"Herbst2014","atezolizumab"
1,0.1,NA,0.03,"adult; 0.03 mg/kg",8,3.33333333333333,NA,"Herbst2014","atezolizumab"
