"ID","time_days","conc_ugml","sd_ugml","concDoseNorm1mgkg","sdDoseNorm1mgkg","dose_mgkg","age_yrs","group","Ab","litID"
1,0.0279441125,450.4102,148.4419,22.52051,7.422095,20,"Adult","adult (20 mg/kg, Fig2D_log)","avelumab","Heery2017"
1,0.195608791666667,409.6105,156.078,20.480525,7.8039,20,"Adult","adult (20 mg/kg, Fig2D_log)","avelumab","Heery2017"
1,0.279441125,401.9053,132.4561,20.095265,6.622805,20,"Adult","adult (20 mg/kg, Fig2D_log)","avelumab","Heery2017"
1,0.530937916666667,358.6238,109.2224,17.93119,5.46112,20,"Adult","adult (20 mg/kg, Fig2D_log)","avelumab","Heery2017"
1,1.03393208333333,308.0774,101.5331,15.40387,5.076655,20,"Adult","adult (20 mg/kg, Fig2D_log)","avelumab","Heery2017"
1,1.53692625,249.9989,76.13959,12.499945,3.8069795,20,"Adult","adult (20 mg/kg, Fig2D_log)","avelumab","Heery2017"
1,2.03992,240.6818,67.39557,12.03409,3.3697785,20,"Adult","adult (20 mg/kg, Fig2D_log)","avelumab","Heery2017"
1,7.04191666666667,106.3663,52.12302,5.318315,2.606151,20,"Adult","adult (20 mg/kg, Fig2D_log)","avelumab","Heery2017"
1,14.0279458333333,50.71712,35.38625,2.535856,1.7693125,20,"Adult","adult (20 mg/kg, Fig2D_log)","avelumab","Heery2017"
2,0.0279441125,274.9003,83.26556,27.49003,8.326556,10,"Adult","adult (10 mg/kg, Fig2D_log)","avelumab","Heery2017"
2,0.195608791666667,264.6552,83.63297,26.46552,8.363297,10,"Adult","adult (10 mg/kg, Fig2D_log)","avelumab","Heery2017"
2,0.279441125,249.9989,82.21809,24.99989,8.221809,10,"Adult","adult (10 mg/kg, Fig2D_log)","avelumab","Heery2017"
2,0.530937916666667,218.8801,90.26903,21.88801,9.026903,10,"Adult","adult (10 mg/kg, Fig2D_log)","avelumab","Heery2017"
2,1.03393208333333,191.6347,65.44296,19.16347,6.544296,10,"Adult","adult (10 mg/kg, Fig2D_log)","avelumab","Heery2017"
2,1.53692625,152.5827,39.98063,15.25827,3.998063,10,"Adult","adult (10 mg/kg, Fig2D_log)","avelumab","Heery2017"
2,2.03992,149.7124,41.30685,14.97124,4.130685,10,"Adult","adult (10 mg/kg, Fig2D_log)","avelumab","Heery2017"
2,7.04191666666667,60.1702,19.78841,6.01702,1.978841,10,"Adult","adult (10 mg/kg, Fig2D_log)","avelumab","Heery2017"
2,14.0279458333333,23.72781,12.83566,2.372781,1.283566,10,"Adult","adult (10 mg/kg, Fig2D_log)","avelumab","Heery2017"
3,0.0279441125,78.49561,26.80614,26.1652033333333,8.93538,3,"Adult","adult (3 mg/kg, Fig2D_log)","avelumab","Heery2017"
3,0.195608791666667,68.72478,29.10262,22.90826,9.70087333333333,3,"Adult","adult (3 mg/kg, Fig2D_log)","avelumab","Heery2017"
3,0.279441125,64.9189,16.09193,21.6396333333333,5.36397666666667,3,"Adult","adult (3 mg/kg, Fig2D_log)","avelumab","Heery2017"
3,0.530937916666667,56.83805,18.69255,18.9460166666667,6.23085,3,"Adult","adult (3 mg/kg, Fig2D_log)","avelumab","Heery2017"
3,1.03393208333333,47.90848,11.87543,15.9694933333333,3.95847666666667,3,"Adult","adult (3 mg/kg, Fig2D_log)","avelumab","Heery2017"
3,1.53692625,37.42794,11.8275,12.47598,3.9425,3,"Adult","adult (3 mg/kg, Fig2D_log)","avelumab","Heery2017"
3,2.03992,36.72387,12.54115,12.24129,4.18038333333333,3,"Adult","adult (3 mg/kg, Fig2D_log)","avelumab","Heery2017"
3,7.04191666666667,13.17006,4.49756,4.39002,1.49918666666667,3,"Adult","adult (3 mg/kg, Fig2D_log)","avelumab","Heery2017"
3,14.0279458333333,3.552348,2.612201,1.184116,0.870733666666667,3,"Adult","adult (3 mg/kg, Fig2D_log)","avelumab","Heery2017"
4,0.0279441125,17.84623,3.732239,17.84623,3.732239,1,"Adult","adult (1 mg/kg, Fig2D_log)","avelumab","Heery2017"
4,0.195608791666667,16.85793,3.525551,16.85793,3.525551,1,"Adult","adult (1 mg/kg, Fig2D_log)","avelumab","Heery2017"
4,0.279441125,15.04249,3.849976,15.04249,3.849976,1,"Adult","adult (1 mg/kg, Fig2D_log)","avelumab","Heery2017"
4,0.530937916666667,13.94215,5.43279,13.94215,5.43279,1,"Adult","adult (1 mg/kg, Fig2D_log)","avelumab","Heery2017"
4,1.03393208333333,11.5307,3.338471,11.5307,3.338471,1,"Adult","adult (1 mg/kg, Fig2D_log)","avelumab","Heery2017"
4,1.53692625,9.536334,2.226332,9.536334,2.226332,1,"Adult","adult (1 mg/kg, Fig2D_log)","avelumab","Heery2017"
4,2.03992,8.50936,2.463706,8.50936,2.463706,1,"Adult","adult (1 mg/kg, Fig2D_log)","avelumab","Heery2017"
4,7.04191666666667,2.339226,1.244828,2.339226,1.244828,1,"Adult","adult (1 mg/kg, Fig2D_log)","avelumab","Heery2017"
4,14.0279458333333,0.2262764,NA,0.2262764,NA,1,"Adult","adult (1 mg/kg, Fig2D_log)","avelumab","Heery2017"
