"time_days","conc_ugml","sd_ugml","dose_mgkg","group","concDoseNorm1mgkg","sdDoseNorm1mgkg","litID","Ab","dosingCycle","ID"
0.333333333333333,66.78944,9.912796,3,"adult (3 mg/kg)",22.2631466666667,3.30426533333333,"Lopez2010","urtoxazumab",1,1
1,58.15776,9.406372,3,"adult (3 mg/kg)",19.38592,3.13545733333333,"Lopez2010","urtoxazumab",1,1
4,35.42002,0.8264275,3,"adult (3 mg/kg)",11.8066733333333,0.275475833333333,"Lopez2010","urtoxazumab",1,1
7,32.6731,1.542465,3,"adult (3 mg/kg)",10.8910333333333,0.514155,"Lopez2010","urtoxazumab",1,1
14,25.35168,3.762651,3,"adult (3 mg/kg)",8.45056,1.254217,"Lopez2010","urtoxazumab",1,1
21,21.08012,4.565607,3,"adult (3 mg/kg)",7.02670666666667,1.521869,"Lopez2010","urtoxazumab",1,1
35,14.2426,3.902719,3,"adult (3 mg/kg)",4.74753333333333,1.30090633333333,"Lopez2010","urtoxazumab",1,1
56,7.909766,2.402535,3,"adult (3 mg/kg)",2.63658866666667,0.800845,"Lopez2010","urtoxazumab",1,1
0.0243055555555556,23.93123,2.617275,1,"adult (1 mg/kg)",23.93123,2.617275,"Lopez2010","urtoxazumab",1,2
0.0416666666666667,24.4896,2.993462,1,"adult (1 mg/kg)",24.4896,2.993462,"Lopez2010","urtoxazumab",1,2
0.333333333333333,23.11745,2.234226,1,"adult (1 mg/kg)",23.11745,2.234226,"Lopez2010","urtoxazumab",1,2
1,20.3633,3.293531,1,"adult (1 mg/kg)",20.3633,3.293531,"Lopez2010","urtoxazumab",1,2
4,13.75828,1.860824,1,"adult (1 mg/kg)",13.75828,1.860824,"Lopez2010","urtoxazumab",1,2
7,10.67531,2.163187,1,"adult (1 mg/kg)",10.67531,2.163187,"Lopez2010","urtoxazumab",1,2
14,7.909766,1.937648,1,"adult (1 mg/kg)",7.909766,1.937648,"Lopez2010","urtoxazumab",1,2
21,5.344164,2.750154,1,"adult (1 mg/kg)",5.344164,2.750154,"Lopez2010","urtoxazumab",1,2
35,4.146638,0.783072,1,"adult (1 mg/kg)",4.146638,0.783072,"Lopez2010","urtoxazumab",1,2
56,2.383941,0.9854074,1,"adult (1 mg/kg)",2.383941,0.9854074,"Lopez2010","urtoxazumab",1,2
0.0243055555555556,7.212683,1.663926,0.3,"adult (0.3 mg/kg)",24.0422766666667,5.54642,"Lopez2010","urtoxazumab",1,3
0.166666666666667,6.65332,2.020899,0.3,"adult (0.3 mg/kg)",22.1777333333333,6.73633,"Lopez2010","urtoxazumab",1,3
0.333333333333333,6.353383,1.287412,0.3,"adult (0.3 mg/kg)",21.1779433333333,4.29137333333333,"Lopez2010","urtoxazumab",1,3
1,5.468856,1.339702,0.3,"adult (0.3 mg/kg)",18.22952,4.46567333333333,"Lopez2010","urtoxazumab",1,3
4,3.825055,0.7223427,0.3,"adult (0.3 mg/kg)",12.7501833333333,2.407809,"Lopez2010","urtoxazumab",1,3
7,3.292526,0.7595675,0.3,"adult (0.3 mg/kg)",10.9750866666667,2.53189166666667,"Lopez2010","urtoxazumab",1,3
14,2.411592,0.6964543,0.3,"adult (0.3 mg/kg)",8.03864,2.32151433333333,"Lopez2010","urtoxazumab",1,3
21,2.075847,0.599493,0.3,"adult (0.3 mg/kg)",6.91949,1.99831,"Lopez2010","urtoxazumab",1,3
35,1.959538,1.04282,0.3,"adult (0.3 mg/kg)",6.53179333333333,3.47606666666667,"Lopez2010","urtoxazumab",1,3
56,0.8541863,0.4247377,0.3,"adult (0.3 mg/kg)",2.84728766666667,1.41579233333333,"Lopez2010","urtoxazumab",1,3
0.0416666666666667,2.46786,0.2699018,0.1,"adult (0.1 mg/kg)",24.6786,2.699018,"Lopez2010","urtoxazumab",1,4
0.333333333333333,2.439564,0.2981977,0.1,"adult (0.1 mg/kg)",24.39564,2.981977,"Lopez2010","urtoxazumab",1,4
1,2.075847,0.2270286,0.1,"adult (0.1 mg/kg)",20.75847,2.270286,"Lopez2010","urtoxazumab",1,4
4,1.402528,0.2268431,0.1,"adult (0.1 mg/kg)",14.02528,2.268431,"Lopez2010","urtoxazumab",1,4
7,1.07577,0.1596644,0.1,"adult (0.1 mg/kg)",10.7577,1.596644,"Lopez2010","urtoxazumab",1,4
14,0.7789074,0.1259795,0.1,"adult (0.1 mg/kg)",7.789074,1.259795,"Lopez2010","urtoxazumab",1,4
21,0.6627793,0.1251625,0.1,"adult (0.1 mg/kg)",6.627793,1.251625,"Lopez2010","urtoxazumab",1,4
35,0.5025377,0.1018313,0.1,"adult (0.1 mg/kg)",5.025377,1.018313,"Lopez2010","urtoxazumab",1,4
56,0.3723502,0.0754509,0.1,"adult (0.1 mg/kg)",3.723502,0.754509,"Lopez2010","urtoxazumab",1,4
0.0451388888888889,62.30466,26.53975,3,"2.8 +/- 2.4 yrs; incl.cr.: 1-15 yrs (3 mg/kg)",20.76822,8.84658333333333,"Lopez2010","urtoxazumab",1,5
0.25,47.4646,6.595486,3,"2.8 +/- 2.4 yrs; incl.cr.: 1-15 yrs (3 mg/kg)",15.8215333333333,2.19849533333333,"Lopez2010","urtoxazumab",1,5
1,41.18376,5.722721,3,"2.8 +/- 2.4 yrs; incl.cr.: 1-15 yrs (3 mg/kg)",13.72792,1.90757366666667,"Lopez2010","urtoxazumab",1,5
3,29.57266,4.510061,3,"2.8 +/- 2.4 yrs; incl.cr.: 1-15 yrs (3 mg/kg)",9.85755333333333,1.50335366666667,"Lopez2010","urtoxazumab",1,5
7,20.73867,3.734974,3,"2.8 +/- 2.4 yrs; incl.cr.: 1-15 yrs (3 mg/kg)",6.91289,1.24499133333333,"Lopez2010","urtoxazumab",1,5
21,12.17914,3.434104,3,"2.8 +/- 2.4 yrs; incl.cr.: 1-15 yrs (3 mg/kg)",4.05971333333333,1.14470133333333,"Lopez2010","urtoxazumab",1,5
56,3.776198,2.073363,3,"2.8 +/- 2.4 yrs; incl.cr.: 1-15 yrs (3 mg/kg)",1.25873266666667,0.691121,"Lopez2010","urtoxazumab",1,5
119,0.7124259,0.7023411,3,"2.8 +/- 2.4 yrs; incl.cr.: 1-15 yrs (3 mg/kg)",0.2374753,0.2341137,"Lopez2010","urtoxazumab",1,5
0.0451388888888889,19.0907,2.652765,1,"2.9 +/- 2.4 yrs; incl.cr.: 1-15 yrs (1 mg/kg)",19.0907,2.652765,"Lopez2010","urtoxazumab",1,6
0.25,17.78279,5.163717,1,"2.9 +/- 2.4 yrs; incl.cr.: 1-15 yrs (1 mg/kg)",17.78279,5.163717,"Lopez2010","urtoxazumab",1,6
